Task Name,Priority,Owner,Custom Status,% Completed,Tags,Work hours,Start Date,Due Date,Milestone Name,Predecessors,Successors
CR18 | Multiple Issues Per Checklist Task,High,"Andrew Morgan, Paul McAvoy, Matthew Martin",Closed,100,"""Change request""",10:00,,,Phase 8 - Launch Preparation,,
Multiple issues should be able to be registered on one task,High,"Andrew Morgan, Alex Warner",Closed,100,"""Change request""",00:00,,,Phase 8 - Launch Preparation,,
Show the CardStatusBar in checklists and schedule checklist page only once to users,None,Andrew Morgan,Closed,100,,03:00,,,Phase 8 - Launch Preparation,,
QA Modals should be editable,None,"Paul McAvoy, Andrew Morgan",Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
"changed a ad-hoc task to scheduled, showing in both checklists",None,"Andrew Morgan, Matthew Martin",Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
No filter options on Audit section,None,"Andrew Morgan, Paul McAvoy",Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Schedule defaulting to sunday on monthly check,None,"Andrew Morgan, Paul McAvoy",Closed,100,,03:00,,,Phase 8 - Launch Preparation,,
Duplicating risk control once editing wording on risk assessment,None,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Risk assessment start date wrong,None,"Andrew Morgan, Matthew Martin",Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Cant delete location without subscription,None,"Andrew Morgan, Paul McAvoy",Closed,100,,02:00,,,Phase 8 - Launch Preparation,,
Last checked on needs implemented within Checklist,None,Andrew Morgan,Closed,100,,02:00,,,Phase 8 - Launch Preparation,,
404 page styling,None,"Andrew Morgan, Paul McAvoy",Closed,100,,04:00,,,Phase 8 - Launch Preparation,,
Click on card,None,Andrew Morgan,Closed,100,,01:00,,,Phase 8 - Launch Preparation,,
Should be red,None,"Paul McAvoy, Andrew Morgan",Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Wrong colour for issues,None,"Paul McAvoy, Andrew Morgan",Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Edit member - 403 This action is unauthorized.,None,"Andrew Morgan, Paul McAvoy",Closed,100,,03:00,,,Phase 8 - Launch Preparation,,
Risk assessment review date not showing next review... showing current start date,None,Andrew Morgan,Closed,100,,02:00,,,Phase 8 - Launch Preparation,,
Audit bug ,High,"Andrew Morgan, Paul McAvoy",Closed,100,,05:00,,,Phase 8 - Launch Preparation,,
Checklist order not in time order,None,Paul McAvoy,Closed,100,,02:00,,,Phase 8 - Launch Preparation,,
User code is no longer being pulled into the user card for display,None,Andrew Morgan,Closed,100,,02:00,,,Phase 8 - Launch Preparation,,
Checklist schedule showing wrong number,None,Andrew Morgan,Closed,100,,03:00,,,Phase 8 - Launch Preparation,,
manager unable to manage teams,None,Andrew Morgan,Closed,100,,06:00,,,Phase 8 - Launch Preparation,,
Fix branding on Add Zone page,None,Paul McAvoy,Closed,100,,02:00,,,Phase 8 - Launch Preparation,,
Cant click on a location in the locations tab,None,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
 Implement two-factor authentication (2FA),None,Andrew Morgan,Closed,100,"""Dev Tasks""",00:00,,,Phase 8 - Launch Preparation,,
Add in staff title,Low,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Frequency labels on tasks,None,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
QA task removal in bulk adding screen... Should this be simpler? ,None,Kurt Scott,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
What should this error message  be?,Low,"Paul McAvoy, Dmitrijs Smirnovs",Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Remove Toast Notifications when there is a relevant form field error message,Low,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
